Transaction ID,Date,Time,City,State,Postal Code,Location,Service Total,Extras Total,Final Amount,Frequency,Discount Code,Discount from Code,Discount from Frequency,Discount from Referral,Giftcard Amount Used,Date Created,Created By,Next Booking Date,Services,Booking ID,Customer ID,Date Cancelled,Cancelled By,Cancellation Fees,Booking Status
ch_104CGo2Iw89207WNmzfeYCL3,06/09/2014,2:30pm,Seattle,WA,98122,NW Maids,159.00,60.00,175.20,One Time Cleaning,SPRINGCLEANING,43.80,0.00,0.00,0.00,06/03/2014 12:05pm,Ilya Ornatov (Admin),,"Three Bdrm Townhome/SF home:  $159 Flat rate, Move in/Move out cleaning (w/fridge) $60",5,7,,,,complete
,06/20/2014,12:00pm,Bothell,WA,98011,NW Maids,159.00,60.00,0.00,One Time Cleaning,ERICFREE,219.00,0.00,0.00,0.00,06/02/2014 2:28pm,,,"Three Bdrm Townhome/SF home:  $159 Flat rate, Move in/Move out cleaning (w/fridge) $60",4,6,,,,complete
ch_104I4r2Iw89207WNYddVrr4O,06/25/2014,9:00am,Seattle,WA,98122,NW Maids,119.00,0.00,119.00,One Time Cleaning,,0.00,0.00,0.00,0.00,06/23/2014 4:09pm,,,One Bedroom Apt:  $119 Flat rate,15,14,,,,complete
ch_104JBE2Iw89207WN5wyJtHuc,06/28/2014,12:00pm,Redmond,WA,98052,NW Maids,139.00,100.00,239.00,One Time Cleaning,,0.00,0.00,0.00,0.00,06/26/2014 4:15pm,,,"Two Bedroom Apt:  $139 Flat rate, 1 x inside the fridge, inside cabinets (empty), Move in/Move out cleaning (w/fridge) $60",17,16,,,,complete
ch_104JZV2Iw89207WNEnIZkQr9,06/29/2014,3:00pm,Seattle,WA,98109,NW Maids,119.00,60.00,0.00,One Time Cleaning,,0.00,0.00,0.00,0.00,06/26/2014 12:50pm,,,"One Bedroom Apt:  $119 Flat rate, Move in/Move out cleaning (w/fridge) $60",16,15,,,,complete
,07/14/2014,12:00pm,Seattle,WA,98125,NW Maids,189.00,60.00,249.00,One Time Cleaning,,0.00,0.00,0.00,0.00,07/09/2014 11:36pm,Ilya Ornatov (Admin),07/15/2014 9:00am,"Four Bedroom Home:  $189 Flat rate, Move in/Move out cleaning (w/fridge) $60",19,18,,,,complete
ch_14GdvI2Iw89207WNUKqrd5UZ,07/15/2014,9:00am,Seattle,WA,98125,NW Maids,189.00,60.00,269.00,One Time Cleaning,,0.00,0.00,0.00,0.00,07/15/2014 2:37pm,Ilya Ornatov (Admin),,"Four Bedroom Home:  $189 Flat rate, Move in/Move out cleaning (w/fridge) $60",20,18,,,,complete
ch_15uYhA2Iw89207WNas3f5Yuz,04/22/2015,9:00am,Seattle,WA,98103,NW Maids,159.00,0.00,135.15,One Time Cleaning,,0.00,0.00,0.00,0.00,04/21/2015 8:58am,Kendall Omlin (Customer),,Three Bdrm Townhome/SF home:  $159 Flat rate,25,26,,,,complete
ch_15zeTE2Iw89207WNGcAEsATA,05/07/2015,12:00pm,Seattle,WA,98101,NW Maids,119.00,0.00,0.00,Every two weeks 15% off -Most Popular-,,0.00,17.85,0.00,0.00,05/02/2015 2:04pm,Nathan Sharp (Customer),05/21/2015 12:00pm,One Bedroom Apt:  $119 Flat rate,26,27,,,,complete
ch_160dCE2Iw89207WNe3InsfKX,05/09/2015,12:00pm,seattle,WA,98133,NW Maids,119.00,0.00,119.00,One Time Cleaning,,0.00,0.00,0.00,0.00,05/09/2015 10:50am,raymond vincent (Customer),,One Bedroom Apt:  $119 Flat rate,28,28,,,,complete
