"","loan_status","loan_amnt","int_rate","grade","emp_length","home_ownership","annual_inc","age"
"1",0,5000,10.65,"B",10,"RENT",24000,33
"2",0,2400,NA,"C",25,"RENT",12252,31
"3",0,10000,13.49,"C",13,"RENT",49200,24
"4",0,5000,NA,"A",3,"RENT",36000,39
"5",0,3000,NA,"E",9,"RENT",48000,24
"6",0,12000,12.69,"B",11,"OWN",75000,28
"7",1,9000,13.49,"C",0,"RENT",30000,22
"8",0,3000,9.91,"B",3,"RENT",15000,22
"9",1,10000,10.65,"B",3,"RENT",100000,28
"10",0,1000,16.29,"D",0,"RENT",28000,22
"11",0,10000,NA,"C",4,"RENT",42000,23
"12",0,3600,6.03,"A",13,"MORTGAGE",110000,27
"13",0,6000,NA,"B",1,"MORTGAGE",84000,30
"14",0,9200,6.03,"A",6,"RENT",77385.19,24
"15",1,21000,12.42,"B",17,"RENT",105000,29
"16",0,10000,11.71,"B",13,"OWN",50000,23
"17",0,10000,11.71,"B",5,"RENT",50000,22
"18",1,6000,11.71,"B",1,"RENT",76000,31
"19",0,15000,9.91,"B",2,"MORTGAGE",92000,23
"20",1,15000,14.27,"C",9,"RENT",60000,30
"21",0,4000,11.71,"B",19,"MORTGAGE",106000,27
"22",0,8500,11.71,"B",0,"RENT",25000,24
"23",0,4375,7.51,"A",7,"MORTGAGE",17108,38
"24",0,31825,7.9,"A",5,"MORTGAGE",75000,23
"25",0,5000,8.9,"A",2,"RENT",24044,22
"26",0,7000,15.96,"C",7,"RENT",34000,27
"27",0,12400,10.65,"B",18,"RENT",41000,36
"28",0,10800,9.91,"B",2,"RENT",55596,35
"29",0,15000,7.9,"A",1,"RENT",45000,23
"30",0,6000,12.42,"B",1,"RENT",36852,25
"31",0,9600,7.51,"A",4,"RENT",68004,22
"32",0,12000,7.9,"A",15,"RENT",62300,25
"33",0,3000,18.25,"D",9,"MORTGAGE",65000,26
"34",0,4400,16.77,"D",17,"RENT",55000,24
"35",0,6000,6.03,"A",17,"MORTGAGE",45600,21
"36",0,14000,NA,"B",6,"RENT",80000,26
"37",1,5000,8.9,"A",17,"MORTGAGE",100000,27
"38",0,10000,10.65,"B",6,"RENT",27000,23
"39",0,10000,NA,"A",11,"RENT",60000,37
"40",0,11000,6.62,"A",5,"RENT",70000,26
"41",1,15000,9.91,"B",8,"MORTGAGE",80000,26
"42",0,25600,NA,"B",9,"RENT",110000,29
"43",0,7000,10.65,"B",0,"RENT",40000,22
"44",1,12000,15.96,"C",4,"RENT",50000,29
"45",0,12000,9.91,"B",1,"RENT",46000,38
"46",0,10000,12.42,"B",0,"OWN",39000,33
"47",0,10000,10.65,"B",2,"RENT",51400,23
"48",0,7100,16.77,"D",1,"MORTGAGE",33000,29
"49",0,8000,NA,"D",0,"RENT",62000,29
"50",0,3500,10.65,"B",7,"MORTGAGE",55000,33
"51",0,16425,14.27,"C",4,"RENT",44544,27
"52",0,15000,14.65,"C",2,"OWN",61000,25
"53",1,6400,16.77,"D",5,"RENT",75000,35
"54",0,3000,13.49,"C",1,"RENT",33600,27
"55",0,12000,16.77,"D",3,"RENT",50000,25
"56",0,14400,8.9,"A",0,"OWN",150000,25
"57",0,12000,14.65,"C",18,"RENT",90000,28
"58",0,11000,13.49,"C",23,"MORTGAGE",48000,26
"59",0,15000,NA,"A",1,"MORTGAGE",52000,37
"60",0,10000,14.27,"C",2,"RENT",68000,29
"61",0,11800,12.69,"B",6,"RENT",42000,23
"62",0,4500,6.03,"A",4,"RENT",53000,40
"63",0,7000,12.69,"B",12,"RENT",35000,24
"64",0,9200,12.42,"B",2,"RENT",60000,27
"65",0,12000,16.29,"D",9,"RENT",88365,28
"66",0,12000,13.49,"C",4,"RENT",72000,28
"67",0,12000,10.65,"B",0,"RENT",62000,28
"68",0,7000,10.65,"B",3,"MORTGAGE",43680,27
"69",0,10500,12.69,"B",11,"RENT",66000,31
"70",0,7000,11.71,"B",4,"OWN",39120,23
"71",0,3500,6.03,"A",11,"MORTGAGE",83000,27
"72",1,6200,9.91,"B",2,"RENT",25000,36
"73",0,6000,8.9,"A",8,"OWN",28800,26
"74",0,7200,9.91,"B",6,"RENT",135000,25
"75",0,9500,8.9,"A",7,"MORTGAGE",50000,27
"76",0,24000,10.65,"B",15,"RENT",45000,40
"77",0,6000,NA,"C",30,"RENT",80000,32
"78",0,6000,13.49,"C",5,"RENT",50000,29
"79",0,2100,12.42,"B",21,"MORTGAGE",30000,48
"80",0,5500,6.62,"A",8,"MORTGAGE",110000,25
